Date,Open,High,Low,Close,Adj Close,Volume
2016-04-06,10.449800,10.970000,10.277300,10.685400,10.685400,16997100
2016-04-07,10.695200,10.809700,9.953630,10.069700,10.069700,13464500
2016-04-08,10.077400,10.387500,9.655580,9.719590,9.719590,14660600
2016-04-09,9.694230,10.088900,9.068140,9.150620,9.150620,16194800
2016-04-10,9.149850,9.224720,7.455640,8.936340,8.936340,42613400
2016-04-11,8.942780,8.946640,8.003180,8.643790,8.643790,15138100
2016-04-12,8.639470,8.639470,7.154160,7.442310,7.442310,23190100
2016-04-13,7.441360,8.719770,7.069220,8.044420,8.044420,31403300
2016-04-14,8.075170,8.757040,8.021520,8.387240,8.387240,13590700
2016-04-15,8.386060,8.616200,8.097330,8.242780,8.242780,12179000
2016-04-16,8.235880,8.649760,8.114440,8.609500,8.609500,9888460
2016-04-17,8.623190,9.702000,8.560780,9.309100,9.309100,24619600
2016-04-18,9.332730,9.506660,8.496870,9.036000,9.036000,21084100
2016-04-19,9.075330,9.306240,8.595460,8.714880,8.714880,12899100
2016-04-20,8.688190,8.825390,8.313760,8.465790,8.465790,15634700
2016-04-21,8.453460,8.721830,7.962220,8.102170,8.102170,13355400
2016-04-22,8.149920,8.272320,7.668480,7.821260,7.821260,13309300
2016-04-23,7.791830,8.552930,7.737740,8.294790,8.294790,14565200
2016-04-24,8.293430,8.473970,7.959810,8.001350,8.001350,10786400
2016-04-25,8.007770,8.094600,7.236510,7.554340,7.554340,18239900
2016-04-26,7.526550,7.551820,7.058980,7.397040,7.397040,17667300
2016-04-27,7.388390,7.967740,7.319690,7.759970,7.759970,19254500
2016-04-28,7.740690,7.913070,7.166400,7.172530,7.172530,11576000
2016-04-29,7.207030,7.730960,7.171890,7.457290,7.457290,8762080
2016-04-30,7.453910,9.366500,7.453910,8.813980,8.813980,36573300
2016-05-01,8.775080,9.011780,8.432360,8.846500,8.846500,16713800
2016-05-02,8.894240,10.321500,8.850720,10.163200,10.163200,41019200
2016-05-03,10.165100,10.165100,9.279800,9.311270,9.311270,21463900
2016-05-04,9.382870,10.034100,9.267520,9.413770,9.413770,17622400
2016-05-05,9.396730,10.046000,9.292120,9.826100,9.826100,18296200
2016-05-06,9.809610,9.952190,9.037010,9.346640,9.346640,21510600
2016-05-07,9.315650,9.475790,9.212100,9.370510,9.370510,10806500
2016-05-08,9.372900,9.597500,8.926860,9.482930,9.482930,15031000
2016-05-09,9.494040,9.641160,9.203700,9.297730,9.297730,13085300
2016-05-10,9.282650,9.479020,9.261360,9.361520,9.361520,9321790
2016-05-11,9.431430,10.011900,9.389260,9.996280,9.996280,15267500
2016-05-12,9.995110,10.506300,9.856410,10.057800,10.057800,24137700
2016-05-13,10.062300,11.052800,10.018400,10.506600,10.506600,31276900
2016-05-14,10.505100,10.615000,9.807920,10.239700,10.239700,18808000
2016-05-15,10.238600,10.444500,9.926420,9.962350,9.962350,9218400
2016-05-16,9.968700,11.440300,9.968700,11.171300,11.171300,29079900
2016-05-17,11.193200,12.487000,11.152600,12.198800,12.198800,37198700
2016-05-18,12.179300,14.259000,12.179300,13.558600,13.558600,65389900
2016-05-19,13.542800,14.872800,13.337600,14.769700,14.769700,53757500
2016-05-20,14.853200,15.048200,13.384200,13.635600,13.635600,50544100
2016-05-21,13.689700,14.051200,13.119000,14.015000,14.015000,24648400
2016-05-22,14.040500,14.346400,13.765800,14.286100,14.286100,17938900
2016-05-23,14.279800,14.492400,13.192200,13.461500,13.461500,23842800
2016-05-24,13.305400,13.774300,12.014100,12.732300,12.732300,41560600
2016-05-25,12.793200,12.898400,11.766600,12.526000,12.526000,27444700
2016-05-26,12.516100,12.986600,12.059200,12.430400,12.430400,20764000
2016-05-27,12.389400,12.389400,10.502700,11.295800,11.295800,57496400
2016-05-28,11.333200,12.363300,10.373400,11.892900,11.892900,47274800
2016-05-29,12.112200,12.690800,11.776800,12.350400,12.350400,28598400
2016-05-30,12.325300,12.880600,12.265800,12.725300,12.725300,14733800
2016-05-31,12.743500,14.267300,12.642200,14.077300,14.077300,42433400
2016-06-01,14.109800,14.315500,13.438900,14.001500,14.001500,22471300
2016-06-02,13.991700,14.048400,13.629200,13.738000,13.738000,10477200
2016-06-03,13.742900,13.873800,13.254300,13.846700,13.846700,22981500
2016-06-04,13.864300,13.945400,13.421800,13.740400,13.740400,15792400
2016-06-05,13.762500,14.072200,13.567800,13.975000,13.975000,11088400
2016-06-06,14.000700,14.058500,13.734900,13.934100,13.934100,8720400
2016-06-07,13.945300,14.512000,13.814600,14.512000,14.512000,21421600
2016-06-08,14.507900,14.779600,14.275200,14.417700,14.417700,16941800
2016-06-09,14.430600,14.567200,14.340200,14.398600,14.398600,8256830
2016-06-10,14.375900,14.431800,13.820700,13.908600,13.908600,11312900
2016-06-11,13.909100,14.191600,13.720300,14.191600,14.191600,12176500
2016-06-12,14.186400,15.900000,14.186400,15.743700,15.743700,38210300
2016-06-13,15.772300,17.644199,15.719600,17.602699,17.602699,38023400
2016-06-14,17.612801,19.273500,17.298599,18.893200,18.893200,64412200
2016-06-15,18.905300,18.905300,17.709499,18.354300,18.354300,19393400
2016-06-16,18.362801,20.829700,18.362801,20.588600,20.588600,38531000
2016-06-17,20.650900,21.522699,13.567600,15.376800,15.376800,199408000
2016-06-18,15.378600,15.378600,9.963640,11.330700,11.330700,133937000
2016-06-19,11.167300,13.182100,10.635600,12.234200,12.234200,69783600
2016-06-20,12.236900,12.448300,10.524700,11.839500,11.839500,58143600
2016-06-21,11.819800,13.420400,11.291800,13.306700,13.306700,69245600
2016-06-22,13.199700,15.785600,13.095100,13.095100,13.095100,96994096
2016-06-23,13.215600,13.791100,12.564000,13.676200,13.676200,30806400
2016-06-24,13.682100,14.567300,13.219400,14.332100,14.332100,33332900
2016-06-25,14.302800,14.581900,14.017000,14.283000,14.283000,15383100
2016-06-26,14.261100,14.373900,13.656500,13.850200,13.850200,14747600
2016-06-27,13.808200,14.121100,13.749300,13.883900,13.883900,10994700
2016-06-28,13.927600,13.981500,11.718000,12.175600,12.175600,43436600
2016-06-29,12.174200,13.038000,11.685400,12.611200,12.611200,26982800
